id,mood,moment_containment,day_step
1,غاضب,"اغسل وجهك ويديك بماء بارد جداً لتهدئة تسارع النبض فوراً، هذا يطفئ الانفعال اللحظي.","تجنب اتخاذ أي قرارات أو إرسال رسائل اليوم. مارس نشاطاً حركياً مجهداً لتفريغ الأدرينالين."
2,غاضب,"امسك ورقة واكتب فيها كل ما يغضبك بدون فلترة، ثم مزقها فوراً لتفريغ الشحنة النفسية.","ابتعد عن النقاشات الجدالية اليوم، واكتفِ بالمراقبة حتى يهدأ جهازك العصبي."
3,غاضب,"اقبض يديك بقوة شديدة لمدة 5 ثوانٍ، ثم أرخها ببطء مع زفير طويل. كررها 3 مرات.","ابحث عن المسبب الحقيقي خلف هذا الغضب؛ هل هو إرهاق؟ أم تجاوز لحدودك؟"
4,غاضب,"قم بالعد العكسي من 100 بطرح الرقم 7. هذا يشتت الدماغ العاطفي ويجبر المنطقي على العمل.","وجه هذه الطاقة العالية نحو إنجاز مهمة بدنية كنت تؤجلها مثل الترتيب أو المشي."
5,غاضب,"ادفع الجدار بيديك بكل قوتك لمدة 10 ثوانٍ. هذا التمرين يفرغ شحنة الغضب المكبوتة بأمان.","ضع حدوداً واضحة اليوم. إذا كان هناك شخص يستفزك، ابتعد عنه مؤقتاً لحماية طاقتك."
6,غاضب,"اشرب كأساً من الماء المثلج ببطء. برودة الماء والبلع المتكرر يكسران حدة نوبة الغضب.","استبدل القهوة أو الشاي بمشروب مهدئ، فالكافيين يزيد من الاستثارة العصبية."
7,غاضب,"خذ شهيقاً من الأنف، وازفره بقوة من الفم وكأنك تطفئ شمعة. كررها لإبطاء خفقان القلب.","اكتب في يومياتك ما كنت تتمنى قوله ولم تقله. التعبير الكتابي يخفف ثقل الكلمات."
8,غاضب,"أمسك بمكعب ثلج في يدك حتى يذوب. الصدمة الباردة تسحب انتباه الدماغ من الفكرة المزعجة.","اسمح لنفسك بالشعور بالغضب دون تأنيب ضمير، فهو رسالة تخبرك أن لك حقاً يجب حمايته."
9,غاضب,"تنهد بصوت مسموع 3 مرات. التنهيدة العميقة هي طريقة جسدك الطبيعية لعمل إعادة ضبط.","لا تحاول تبرير غضبك للآخرين اليوم. احتفظ بطاقتك لنفسك وركز على استعادة هدوئك."
10,غاضب,"ارسم خطوطاً عشوائية بقوة على ورقة حتى تشعر بتفريغ الشحنة من ذراعك.","قم بتنظيف أو ترتيب مساحة صغيرة حولك؛ السيطرة على الفوضى الخارجية تقلل فوضى الغضب الداخلي."
11,غاضب,"إذا كنت واقفاً فاجلس، وإذا كنت جالساً فتمدد. تغيير الوضعية الجسدية يكسر حدة الانفعال.","أجل أي نقاشات جادة أو حاسمة للغد. دماغك الآن في وضع (الهجوم) وليس الاستيعاب."
12,غاضب,"اغسل ذراعيك بالماء البارد حتى المرفقين. هذه المنطقة مليئة بالأعصاب وتساعد على التبريد الفوري.","استمع لمقطع صوتي صاخب لدقيقتين لتفريغ الغضب، ثم انتقل لمقطع هادئ جداً لبرمجة هدوئك."
13,غاضب,"شم رائحة نفاذة وقوية (مثل النعناع أو الليمون). الروائح القوية تكسر تركيز الدماغ على مسبب الغضب.","اكتب قائمة بإيجابيات وسلبيات ردة الفعل التي تنوي القيام بها قبل أن تتصرف."
14,غاضب,"اعصر كرة مطاطية (أو أي جسم مرن) بكل قوتك عدة مرات لتفريغ التوتر العضلي.","اخرج للمشي السريع لمدة 15 دقيقة بدون هدف. الحركة المتكررة تفرغ هرمونات التوتر."
15,غاضب,"أغمض عينيك، شد كل عضلات جسمك معاً لثانيتين، ثم أرخها دفعة واحدة.","تناول شيئاً مقرمشاً (مثل التفاح أو المكسرات)، المضغ القوي يساعد في تفريغ شحنة الغضب في الفك."
16,غاضب,"امسح على مؤخرة عنقك بماء بارد، هذا المكان مركز حيوي لتهدئة الجهاز العصبي.","حاول إعادة صياغة الموقف في ذهنك: هل أخطأ الشخص عن قصد أم عن جهل؟"
17,غاضب,"قل بصوت مسموع: 'أنا غاضب الآن وهذا من حقي'. الاعتراف بالشعور يقلل من سيطرته عليك.","خذ 'إجازة' لمدة ساعة من كل التزاماتك واختلِ بنفسك لتفريغ الانفعال بأمان."
18,غاضب,"اضرب بقدميك على الأرض بقوة وبوتيرة متسارعة لمدة 10 ثوانٍ لتفريغ طاقة الغضب السفلية.","تدرب على التسامح، ليس من أجل المخطئ، بل لتحرير قلبك من عبء الغضب المستمر."
19,غاضب,"تخيل الغضب كدخان أحمر يخرج من فمك مع كل زفير حتى يصبح لون الدخان شفافاً.","استخدم هذه الطاقة الهائلة في ممارسة تمارين المقاومة أو رفع الأثقال."
20,غاضب,"مزق قطعة كرتون أو مجلة قديمة إلى قطع صغيرة جداً.","خطط لحوار بناء وهادئ ليوم غد مع الشخص الذي أغضبك، واكتب النقاط بوضوح."
21,متوتر,"عقلك يسبقك للمستقبل. أعده للآن عبر تقنية 5-4-3-2-1: ابحث عن 5 أشياء تراها، 4 تلمسها، 3 تسمعها.","قسّم المهام الكبيرة التي تقلقك إلى خطوات صغيرة جداً لتخفيف عبء التفكير."
22,متوتر,"تنفس بطريقة المربع (شهيق 4 ثوانٍ، اكتم 4، زفير 4، اكتم 4). هذه الطريقة تعيد إيقاع القلب.","حدد وقتاً ثابتاً (15 دقيقة فقط) للتفكير في مقلقاتك، وخارج هذا الوقت تجاهلها."
23,متوتر,"افرك يديك ببعضهما بسرعة حتى تشعر بالحرارة، ثم ضعهما على عينيك المغلقتين لتسكين القلق.","اكتب كل المهام التي تدور في ذهنك على ورقة لتفريغ الذاكرة العشوائية لعقلك."
24,متوتر,"ركز نظرك على شيء ثابت في الغرفة، وقم بوصف تفاصيله بصوت مسموع لمدة دقيقة.","ركز اليوم على إنجاز مهمة واحدة فقط في كل مرة. التشتت يزيد من نوبات التوتر."
25,متوتر,"طبق 'عناق الفراشة': قاطع ذراعيك على صدرك واربت على كتفيك بالتناوب لتطمين جهازك العصبي.","تدرب على قول 'لا' اليوم لأي طلب جديد يضاف إلى جدولك لحماية طاقتك."
26,متوتر,"تخيل أن التوتر سحابة تمر فوق رأسك. راقبها ولا تحاول إيقافها، ستعبر وتتلاشى.","ابتعد عن الأخبار السلبية أو تصفح السوشيال ميديا الذي يغذي شعورك بالتهديد."
27,متوتر,"ضع يدك على بطنك وراقب حركتها مع التنفس. تنفس البطن العميق يوقف إفراز هرمون التوتر.","رتب درجا واحدا أو جزءا صغيرا من مكتبك. التنظيم الخارجي يعطي شعوراً بالتحكم."
28,متوتر,"استمع إلى صوت مريح (مثل صوت المطر) للتشويش على الأفكار المتسارعة في ذهنك.","ركز فقط على الخطوة القادمة التي أمامك مباشرة، ولا تفكر في نهاية الطريق."
29,متوتر,"انهض وامشِ في الغرفة بخطوات بطيئة، مع التركيز على إحساس قدميك وهي تلامس الأرض.","اسأل نفسك: 'هل هذا الأمر سيهم بعد سنة؟'. تحجيم المشكلة يقلل الرهبة منها."
30,متوتر,"مرر إصبعك السبابة على شفاهك ببطء، هذه الحركة تحفز الأعصاب المهدئة في الوجه.","استبدل القهوة بشاي البابونج أو الينسون لتخفيف تحفيز الجهاز العصبي."
31,متوتر,"أمسك بقطعة قماش خشنة أو ناعمة جداً وركز على ملمسها لتفعيل حاسة اللمس وصرف الانتباه.","أغلق إشعارات هاتفك لمدة ساعة كاملة. الانقطاع المؤقت يقلل من الاستنفار الذهني."
32,متوتر,"ابحث في محيطك عن 5 أشياء باللون الأزرق. هذا التمرين ينقل نشاط الدماغ من العاطفة للمنطق.","حدد موعداً نهائياً ليوم عملك (مثلاً 6 مساءً) وبعده لا تفكر بأي مسؤولية."
33,متوتر,"قم بشم رائحة حبوب القهوة أو عطر تحبه بتركيز عالٍ لثوانٍ معدودة.","فوّض مهمة واحدة على الأقل لشخص آخر اليوم. لا يجب أن تفعل كل شيء بنفسك."
34,متوتر,"أصدر همهمة (طنين) بصوت منخفض. الاهتزاز في الصدر والحنجرة يعمل كمساج داخلي للعصب الحائر.","اكتب السيناريو الأسوأ لما يقلقك، ثم اكتب السيناريو الأفضل، لترى أن الواقع غالباً في المنتصف."
35,متوتر,"اقبض أصابع قدميك بشدة ثم أرخها. كررها لنقل التركيز من رأسك المزدحم إلى أطرافك.","تجنب الأشخاص الذين ينقلون لك طاقة سلبية أو قلقاً معدياً هذا اليوم."
36,متوتر,"لف نفسك ببطانية ثقيلة ومحكمة. الإحساس بالاحتواء الجسدي يقلل من التوتر المفرط.","اجعل أولوية الليلة هي الحصول على نوم عميق ومبكر، قلة النوم هي وقود القلق."
